timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 06:15:00+00,BTCUSD,4330.10,4337.60,4319.40,4334.90,4328.44,124.60414093
2017-10-01 06:15:00+00,ETHUSD,300.33,300.80,300.20,300.37,300.29,687.19864626
2017-10-01 06:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,90233.38294106
2017-10-01 06:30:00+00,BTCUSD,4335.20,4339.70,4323.36,4328.90,4332.30,117.38774608
2017-10-01 06:30:00+00,ETHUSD,300.36,301.06,300.25,300.53,300.51,844.08010808
2017-10-01 06:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,3508.97870100
2017-10-01 06:45:00+00,BTCUSD,4329.00,4329.90,4320.90,4324.50,4325.08,126.25737925
2017-10-01 06:45:00+00,ETHUSD,300.62,301.23,300.11,300.72,300.52,1501.42700036
2017-10-01 06:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,71144.73111071
2017-10-01 07:00:00+00,BTCUSD,4324.50,4330.00,4322.30,4325.00,4326.26,53.66796599
2017-10-01 07:00:00+00,ETHUSD,300.45,300.76,300.20,300.56,300.39,535.04390059
2017-10-01 07:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,18209.96580000
2017-10-01 07:15:00+00,BTCUSD,4325.00,4334.20,4325.00,4333.10,4328.06,114.06276103
2017-10-01 07:15:00+00,ETHUSD,300.60,300.89,300.31,300.37,300.56,508.05937487
2017-10-01 07:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,44389.93169750
2017-10-01 07:30:00+00,BTCUSD,4333.10,4342.50,4331.50,4339.40,4337.86,132.17008735
2017-10-01 07:30:00+00,ETHUSD,300.48,301.43,300.30,300.84,300.73,797.72874942
2017-10-01 07:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,170993.98276857
2017-10-01 07:45:00+00,BTCUSD,4340.50,4342.80,4325.00,4337.50,4332.24,160.27888753
2017-10-01 07:45:00+00,ETHUSD,300.84,301.05,300.40,300.65,300.64,435.93769655
2017-10-01 07:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,7749.03750848
2017-10-01 08:00:00+00,BTCUSD,4337.50,4337.90,4294.80,4324.60,4314.82,343.25173077
